date,time,studio,auslastung
2020-10-13,17:26:51,berlin-lichterfelde,36
2020-10-13,17:27:06,berlin-marzahn,27
2020-10-13,17:27:19,berlin-lichtenberg,41
2020-10-13,17:27:36,berlin-reinickendorf,47
2020-10-13,17:27:50,berlin-mahlsdorf,27
2020-10-13,17:28:03,berlin-wilmersdorf,62
2020-10-13,17:28:18,berlin-spandau-west,51
2020-10-13,17:28:32,berlin-spandau,53
2020-10-13,17:35:09,berlin-lichterfelde,36
2020-10-13,17:36:17,berlin-lichterfelde,38
2020-10-13,17:36:37,berlin-lichterfelde,38
2020-10-13,17:36:53,berlin-marzahn,29
2020-10-13,17:37:07,berlin-marzahn,29
2020-10-13,17:37:20,berlin-lichtenberg,40
2020-10-13,17:37:32,berlin-lichtenberg,40
2020-10-13,17:37:51,berlin-reinickendorf,47
2020-10-13,17:38:09,berlin-reinickendorf,47
2020-10-13,17:38:23,berlin-mahlsdorf,26
2020-10-13,17:38:36,berlin-mahlsdorf,26
2020-10-13,17:38:51,berlin-wilmersdorf,64
2020-10-13,17:39:03,berlin-wilmersdorf,64
2020-10-13,17:39:22,berlin-spandau-west,51
2020-10-13,17:39:37,berlin-spandau-west,51
2020-10-13,17:39:50,berlin-spandau,53
2020-10-13,17:40:06,berlin-spandau,53
2020-10-13,17:43:29,berlin-lichterfelde,41
2020-10-13,17:47:48,berlin-lichterfelde,39
2020-10-13,17:49:50,berlin-lichterfelde,40
2020-10-13,17:50:58,berlin-lichterfelde,41
2020-10-13,17:51:12,berlin-marzahn,32
2020-10-13,17:51:27,berlin-lichtenberg,41
2020-10-13,17:51:45,berlin-reinickendorf,50
2020-10-13,17:52:00,berlin-mahlsdorf,29
2020-10-13,17:52:18,berlin-wilmersdorf,66
2020-10-13,17:52:42,berlin-spandau-west,53
2020-10-13,17:53:03,berlin-lichterfelde,43
2020-10-13,17:53:19,berlin-marzahn,32
2020-10-13,17:53:36,berlin-lichtenberg,42
2020-10-13,17:53:50,berlin-reinickendorf,51
2020-10-13,17:54:07,berlin-mahlsdorf,29
2020-10-13,17:54:24,berlin-wilmersdorf,67
2020-10-13,17:54:38,berlin-spandau-west,55
2020-10-13,17:54:56,berlin-spandau,64
2020-10-13,17:55:22,berlin-lichterfelde,44
2020-10-13,17:55:37,berlin-marzahn,33
2020-10-13,17:55:51,berlin-lichtenberg,43
2020-10-13,17:56:05,berlin-reinickendorf,51
2020-10-13,17:56:19,berlin-mahlsdorf,30
2020-10-13,17:56:35,berlin-wilmersdorf,70
2020-10-13,17:56:54,berlin-spandau-west,56
2020-10-13,17:57:09,berlin-spandau,66
